title,Patent_Category,center
Multicolor detectors for ultrasensitive long-wave imaging cameras,Physical Sciences,NASA Goddard Space Flight Center
Optimal Padding for the Two-Dimensional Fast Fourier Transform,Chemical Sciences,NASA Goddard Space Flight Center
Discrete Fourier Transform (DFT) Analysis in a Complex Vector Space,Aerospace,NASA Goddard Space Flight Center
Sampling Theorem in Terms of the Bandwidth and Sampling Interval,Physical Sciences,NASA Goddard Space Flight Center
Expandable Reconfigurable Instrument Node - Web Sensor Strand Demonstration,Sensors,NASA Goddard Space Flight Center
"Variable Sampling Mapping:  A novel supplement to iterative-transform phase retrieval algorithms for undersampled images, broadband illumination, and noisy detection environments",Chemical Sciences,NASA Goddard Space Flight Center
"A Low Cost, Low Temperature Radiometer for Thermal Measurements.",Chemical Sciences,NASA Goddard Space Flight Center
Passively Q-switched side pumped Monolithic Ring Laser,Technology,NASA Goddard Space Flight Center
"An All-metal, Solderless Circularly Polarized Microwave Antenna Element with Very Low Off-Axis Cross-Polarization",Chemical Sciences,NASA Goddard Space Flight Center
Novel Superconducting Transition Edge Sensor Design,Sensors,NASA Goddard Space Flight Center
Novel Superconducting Transition Edge Sensor Design,Sensors,NASA Goddard Space Flight Center
Automatic Extraction of Planetary Image Features,Chemical Sciences,NASA Goddard Space Flight Center
Crossed Small Deflection Energy Analyzer (SDEA) for Wind/Temperature Spectrometer (WTS),Chemical Sciences,NASA Goddard Space Flight Center
Hybrid Architecture Active Wavefront Sensing and Control,Biological Sciences,NASA Goddard Space Flight Center
High Precision Electric Gate (HPEG) for Time of Flight Mass Spectrometers,Chemical Sciences,NASA Goddard Space Flight Center
Ensemble Detector,Physical Sciences,NASA Goddard Space Flight Center
"Ultra-low Power (< 100mW), 64-Channel Pulse Data Collection System",Chemical Sciences,NASA Goddard Space Flight Center
Progressive Band Selection for Hyperspectral Images,Chemical Sciences,NASA Goddard Space Flight Center
LIDAR Luminance Quantizer,Other,NASA Goddard Space Flight Center
The Corner Cathode: Making Collimated Electron Beams with a Small Number of Electrodes,Chemical Sciences,NASA Goddard Space Flight Center
Resolution enhanced pseudo random code technique,Chemical Sciences,NASA Goddard Space Flight Center
"Low threshold, narrow linewidth optical parametric generator",Physical Sciences,NASA Goddard Space Flight Center
Aerodynamically Stabilized Instrument Platform for Kites and Tethered Blimps ( AeroPod ),Physical Sciences,NASA Goddard Space Flight Center
Automated Beam Balance Scale Logger,Physical Sciences,NASA Goddard Space Flight Center
Graphite Composite Panel Polishing Fixture,Chemical Sciences,NASA Goddard Space Flight Center
Determining Phase Retrieval Sampling from the Modulation Transfer Function,Chemical Sciences,NASA Goddard Space Flight Center
New Variables for Iterative Transform Phase Retrieval,Chemical Sciences,NASA Goddard Space Flight Center
SpaceCube Version 1.5,Chemical Sciences,NASA Goddard Space Flight Center
Sampling and Reconstruction of the Sinc(x) Function,Chemical Sciences,NASA Goddard Space Flight Center
Lateral Kevlar Suspension Device (LKSD),Chemical Sciences,NASA Goddard Space Flight Center
Vectorized Rebinning Algorithm for Fast Data Down-Sampling,Other,NASA Goddard Space Flight Center
An Improved Method of Fabricating Single Crystal Silicon Light Weight Mirrors,Chemical Sciences,NASA Goddard Space Flight Center
SpaceCube Demonstration Platform,Chemical Sciences,NASA Goddard Space Flight Center
SpaceCube Demonstration Platform,Chemical Sciences,NASA Goddard Space Flight Center
Imaging System Aperture Masks for Image Plane Exit Pupil Characterization,Chemical Sciences,NASA Goddard Space Flight Center
An Instrument Suite for the Vertical Characterization of the Ionosphere-Thermosphere System from 100 km to 700km Altitude,Chemical Sciences,NASA Goddard Space Flight Center
Electrospray Ionization for Chemical Analysis of Organic Molecules for Mass Spectrometry,Chemical Sciences,NASA Goddard Space Flight Center
Phase Retrieval System for Assessing Diamond-Turning and other Optical Surface Artifacts,Chemical Sciences,NASA Goddard Space Flight Center
Phase Retrieval for Radio Telescope and Antenna Control,Chemical Sciences,NASA Goddard Space Flight Center
Multi-Scale Image Reconstruction using Wavelets,Chemical Sciences,NASA Goddard Space Flight Center
Photonic Choke-Joints for Dual-Polarization Waveguides,Chemical Sciences,NASA Goddard Space Flight Center
Programmable High-Rate Multi-Mission Receiver for Space Communication,Chemical Sciences,NASA Goddard Space Flight Center
Phase controlled magnetic mirror for wavefront correction,Chemical Sciences,NASA Goddard Space Flight Center
Carbon Nanotubes on titanium substrates for stray light suppression,Chemical Sciences,NASA Goddard Space Flight Center
Refinement of the HSEG Algorithm for Improved Computational Processing Efficiency,Chemical Sciences,NASA Goddard Space Flight Center
LEARNS  (Logic Expansion for Autonomously Reconfigurable Neural Systems),Chemical Sciences,NASA Goddard Space Flight Center
Nanostructure secondary mirror apodization mask for transmitter signal suppression in a duplex telescope.,Chemical Sciences,NASA Goddard Space Flight Center
Prototype Genomics Based keyed-Hash Message Authentication Code Protocol,Chemical Sciences,NASA Goddard Space Flight Center
Lunar Reconnaissance Orbiter (LRO) Command and Data Handling Flight Electronics Subsystem,Physical Sciences,NASA Goddard Space Flight Center
Molecular Adsorber Coating,Other,NASA Goddard Space Flight Center
HEXPANDO  expanding head for fastener retention hexagonal wrench,Chemical Sciences,NASA Goddard Space Flight Center
Apparatuses and Methods to Enable Sub-MHz Precision in Fast Laser Frequency Tuning,Chemical Sciences,NASA Goddard Space Flight Center
A cryptographic approach to microRNA target binding analysis,Chemical Sciences,NASA Goddard Space Flight Center
Wafer Level Microchannel Fabrication Process for Lap-on-a-Chip Devices,Chemical Sciences,NASA Goddard Space Flight Center
"A High Event Rate, Zero Dead Time, Multi-Stop Time-to-digital Converter Application Specific Integrated Circuit",Chemical Sciences,NASA Goddard Space Flight Center
Fine Control and Maintenance Algorithm for Visible Nulling Coronagraphy,Chemical Sciences,NASA Goddard Space Flight Center
SpaceCube Mini,Aerospace,NASA Goddard Space Flight Center
Enhanced adhesion multiwalled carbon nanotubes on titanium substrates for stray light control,Chemical Sciences,NASA Goddard Space Flight Center
Further Refinement of the Computationally Efficient HSEG Algorithm,Chemical Sciences,NASA Goddard Space Flight Center
Spaceflight Refuiling Tools,Physical Sciences,NASA Goddard Space Flight Center
V-Assembly Dual Head Efficiency Resonator (VADER) Laser Transmitter,Physical Sciences,NASA Goddard Space Flight Center
"Impedance matched to vacuum, invisible-edge diffraction suppressed mirror",Chemical Sciences,NASA Goddard Space Flight Center
"Miniaturized laser heterodyne radiometer for carbon dioxide (CO2), methane (CH4), and carbon monoxide (CO) measurements in the atmospheric column.",Chemical Sciences,NASA Goddard Space Flight Center
Development of the Hilbert-Huang Transform Real-Time Data Processing System with 2-D Capabilities,Other,NASA Goddard Space Flight Center
Power provision based on self-sacrificing spacecraft,Chemical Sciences,NASA Goddard Space Flight Center
Autonomic Autopoiesis,Biological Sciences,NASA Goddard Space Flight Center
"Autonomic and Apoptotic Cloud, Autonomic and Apoptotic Grid, Autonomic and Apoptotic Highly Distributed System",Other,NASA Goddard Space Flight Center
Broadband planar impedance transformer,Physical Sciences,NASA Goddard Space Flight Center
Muti-function microposters inside of microfluidic channel for Lab-On-A-Chip device,Chemical Sciences,NASA Goddard Space Flight Center
In-Situ Wire Damage Detection System,Chemical Sciences,NASA Kennedy Space Center
INTEGRATED GENOMIC AND PROTEOMIC INFORMATION SECURITY PROTOCOL,Chemical Sciences,NASA Goddard Space Flight Center
Green Precision Cleaning System,Chemical Sciences,NASA Goddard Space Flight Center
Mirrorlet array for Integral Field Spectrometers (IFS),Other,NASA Goddard Space Flight Center
MISSE-7 Control Center,Other,NASA Goddard Space Flight Center
Wallops Flight Facility 6U Advanced CubeSat Ejector (ACE),Physical Sciences,NASA Goddard Space Flight Center
SpaceCube v2.0 Micro,Aerospace,NASA Goddard Space Flight Center
SpaceCube v. 2.0 Flight Power Card,Physical Sciences,NASA Goddard Space Flight Center
Chemical sensors based on 2-dimensional materials,Sensors,NASA Goddard Space Flight Center
Propellant Transfer Assembly  Design and Development,Other,NASA Goddard Space Flight Center
Quantitative Risk Assessment Software (QRAS) System,Technology,NASA Headquarters
Gas-Liquid Supersonic Cleaning And Cleaning Verification Spray System,Chemical Sciences,NASA Kennedy Space Center
Improved Portable Ultrasonic Leak Detector (Combined With KSC-11751-2),Physical Sciences,NASA Kennedy Space Center
Low-Differential Pressure Generator For Evaluating Low Differential Pressure Transducers,Physical Sciences,NASA Kennedy Space Center
Non-Intrusive Impedance-Based Cable Tester - Standing Wave Reflectometer,Other,NASA Kennedy Space Center
A New Process And Equipment For Conversion Of NOx Scrubber Liquor To Fertilizer (related To KSC-11994),Chemical Sciences,NASA Kennedy Space Center
Process And Equipment For Nitrogen Oxide Waste Conversion To Fertilizer - Continuation-In-Part Filed 2/17/00,Chemical Sciences,NASA Kennedy Space Center
Communication System With Adaptive Noise Suppression,Chemical Sciences,NASA Kennedy Space Center
Improved Single-Station Accurate Location Of Lightning Strikes (Combined With KSC-12276 & KSC-12173),Chemical Sciences,NASA Kennedy Space Center
Liquid Galvanic Coatings For Protection Of Imbedded Metals,Chemical Sciences,NASA Kennedy Space Center
New Air Pollution Control Technology For Removal Of Nitrogen Oxides From Stationary Combustion Sources,Chemical Sciences,NASA Kennedy Space Center
Thermal Insulation System And Method (Continuing Patent Application) (Combined With KSC-12092),Chemical Sciences,NASA Kennedy Space Center
Thermal Insulation Test Apparatus With Sleeve (Related To KSC-12108),Chemical Sciences,NASA Kennedy Space Center
Multipurpose Thermal Insulation Test Apparatus (Related To 12107),Chemical Sciences,NASA Kennedy Space Center
Personal Cabin Pressure Monitor And Altitude Warning System,Other,NASA Kennedy Space Center
"A Novel Ferromagnetic Conducting Lignosulfonic Acid-Doped Polyaniline (Related To KSC-11940, KSC-11940-1, KSC-11940-2, KSC-12154, KSC-12191)",Physical Sciences,NASA Kennedy Space Center
Corrosion Prevention Of Cold Rolled Steel Using Water Dispersible Lignosulfonic Acid Doped Polyaniline,Chemical Sciences,NASA Kennedy Space Center
Apparatus And Method For Thermal Performance Testing Of Pipelines And Piping Systems,Other,NASA Kennedy Space Center
Current Signature Sensor (Combined With KSC-12152),Sensors,NASA Kennedy Space Center
Multisensor Transducer And Weight Factor (Combined With KSC-12359 and KSC-13139),Sensors,NASA Kennedy Space Center
High-Temperature Decomposition Of Hydrogen Peroxide,Chemical Sciences,NASA Kennedy Space Center
Temperature Decomposition Of Hydrogen Peroxide,Chemical Sciences,NASA Kennedy Space Center
High Temperature Decomposition Of Hydrogen Peroxide,Chemical Sciences,NASA Kennedy Space Center
Non-Toxic Environmentally Safe Halon Replacement (HABx),Chemical Sciences,NASA Kennedy Space Center
"Flame Suppression Agent, System And Users",Chemical Sciences,NASA Kennedy Space Center
Non-Toxic Environmentally Safe Halon Replacement (HABx),Chemical Sciences,NASA Kennedy Space Center
Zero-Valent Metal Emulsion For Reductive Dehalogenation Of DNAPLs,Chemical Sciences,NASA Kennedy Space Center
Zero-Valent Metal Emulsion For Reductive Dehalogenation Of DNAPLs,Chemical Sciences,NASA Kennedy Space Center
Image Edge Extraction Via Fuzzy Reasoning (FRED) (combined With KSC-12272),Chemical Sciences,NASA Kennedy Space Center
"Modular Wireless Data Acquisition System (combined With KSC-12479, KSC-12486)",Chemical Sciences,NASA Kennedy Space Center
Thermal Insulation Test Apparatus For Flat Specimens,Chemical Sciences,NASA Kennedy Space Center
Hypothesis Support Mechanism For Mid-Level Visual Pattern Recognition (PIPR),Chemical Sciences,NASA Kennedy Space Center
UV Induced Oxidation Of Nitric Oxide,Chemical Sciences,NASA Kennedy Space Center
Noniterative Optimal Binarization Of Gray-Scaled Digital Images Via Fuzzy Reasoning (FRAT) (combined With KSC-12272),Chemical Sciences,NASA Kennedy Space Center
Hydrogen Peroxide Catalytic Decomposition,Chemical Sciences,NASA Kennedy Space Center
Self-Healing Wire Insulation,Chemical Sciences,NASA Kennedy Space Center
Self-Healing Wire Insulation,Chemical Sciences,NASA Kennedy Space Center
Self-Healing Wire Insulation,Chemical Sciences,NASA Kennedy Space Center
High Performance Immobilized Liquid Membranes For Carbon Dioxide Separations,Chemical Sciences,NASA Kennedy Space Center
Image Processing For Binarization Enhancement Via Fuzzy Reasoning,Chemical Sciences,NASA Kennedy Space Center
Metallic Pigment Powder Particle For Use In A Liquid Coating System To Protect Reinforcing Steel In Concrete Structures,Other,NASA Kennedy Space Center
Micro-scale Particle Emulsion And Their Application For Removal Of PCBs And Metals Found In Ex Situ Structures,Chemical Sciences,NASA Kennedy Space Center
Emission Control System,Chemical Sciences,NASA Kennedy Space Center
Emission Control System,Chemical Sciences,NASA Kennedy Space Center
Hydrogen Peroxide Concentrator,Chemical Sciences,NASA Kennedy Space Center
"Integrated Spaceport Automated Data Management Architecture (Combine With KSC-12581, KSC-12583, KSC-12671and KSC-12582)",Aerospace,NASA Kennedy Space Center
A New Approach For Achieving Fire Retardancy While Retaining Physical Properties In A Compatible Polymer Matrix,Chemical Sciences,NASA Kennedy Space Center
A New Approach For Achieving Flame Retardancy While Retaining Physical Properties In A Compatible Polymer Matrix,Chemical Sciences,NASA Kennedy Space Center
Integral Battery Power Limiting Circuit For Intrinsically Safe Applications,Chemical Sciences,NASA Kennedy Space Center
Coating For Corrosion Detection And Prevention,Chemical Sciences,NASA Kennedy Space Center
Coating For Corrosion Detection And Prevention,Chemical Sciences,NASA Kennedy Space Center
New Organic/inorganic Polymeric Thermal Insulators,Chemical Sciences,NASA Kennedy Space Center
New Organic/inorganic Polymeric Thermal Insulators,Chemical Sciences,NASA Kennedy Space Center
Polyimide Wire Insulation Repair System,Chemical Sciences,NASA Kennedy Space Center
Polyimide Wire Insulation Repair System,Chemical Sciences,NASA Kennedy Space Center
Polyimide Wire Insulation Repair System,Chemical Sciences,NASA Kennedy Space Center
Self Validating Thermocouple (Combined With KSC-12865),Physical Sciences,NASA Kennedy Space Center
Bimetallic Treatment System and it's application for Removal of PCBs Found in Ex Situ Structures without the Use of a Catalized Agent,Chemical Sciences,NASA Kennedy Space Center
New Organic/Inorganic Polymeric Materials,Chemical Sciences,NASA Kennedy Space Center
New Organic/Inorganic Polymeric Materials,Chemical Sciences,NASA Kennedy Space Center
Gas Phase Oxidation Of NO To NO2,Chemical Sciences,NASA Kennedy Space Center
Preparation of a  Bimetal Using Mechanical Alloying for the Dehalogenation of Compounds,Chemical Sciences,NASA Kennedy Space Center
Preparation of a  Bimetal Using Mechanical Alloying for the Dehalogenation of Compounds,Chemical Sciences,NASA Kennedy Space Center
Mercury Emission Control System,Chemical Sciences,NASA Kennedy Space Center
Insulation Test Cryostat with Lift Mechanism  (Combined with KSC-13048),Chemical Sciences,NASA Kennedy Space Center
Insulation Test Cryostat with Lift Mechanism  (Combined with KSC-13048),Chemical Sciences,NASA Kennedy Space Center
Improved Thermal Reactivity Of Hydrogen Sensing Pigments In Manufactured Polymer Composites,Chemical Sciences,NASA Kennedy Space Center
Improved Thermal Reactivity Of Hydrogen Sensing Pigments In Manufactured Polymer Composites,Chemical Sciences,NASA Kennedy Space Center
Improved Thermal Reactivity Of Hydrogen Sensing Pigments In Manufactured Polymer Composites,Chemical Sciences,NASA Kennedy Space Center
PH Sensitive Microcapsule With Corrosion Indicator,Chemical Sciences,NASA Kennedy Space Center
Watercore PH Sensitive Microcapsule,Chemical Sciences,NASA Kennedy Space Center
An Inductive Non-Contact Position Sensor,Sensors,NASA Kennedy Space Center
A Method for Making Elongated Microcapsules Under Simple Shear Conditions,Chemical Sciences,NASA Kennedy Space Center
An improved Online Diagnostic Device (ODD) for Wiring Evaluation,Chemical Sciences,NASA Kennedy Space Center
A Method for Accurately Calibrating a Spectrometer Using Broadband Light,Physical Sciences,NASA Kennedy Space Center
Sputter Coated wire for in-situ wire damage detection,Chemical Sciences,NASA Kennedy Space Center
Conductive Carbon Nanotube for use with Desktop Inkjet Printing,Chemical Sciences,NASA Kennedy Space Center
High Performance Self Healing Film,Other,NASA Kennedy Space Center
Green PCB Removal From Sediment Systems (GPRSS),Other,NASA Kennedy Space Center
Multi-Dimensional Damage Detection For Flat Surfaces,Chemical Sciences,NASA Kennedy Space Center
pH sensitive microparticles,Chemical Sciences,NASA Kennedy Space Center
Aerogel insulation and composites integrated into unique lay-ups (Incorporates Embodiments from  KSC-13702),Materials,NASA Kennedy Space Center
Incorporation of Chemochromic Indicator for the Presence of Hypergolic Fuels into a Variety of Manufactured Parts,Chemical Sciences,NASA Kennedy Space Center
A Two Dimensional Inductive Position Sensor,Sensors,NASA Kennedy Space Center
Regolith Advanced Surface Systems Operations Robot (RASSOR) Excavator,Chemical Sciences,NASA Kennedy Space Center
Coherence Multiplexing of Wireless Surface Acoustic Wave Sensors,Sensors,NASA Kennedy Space Center
Nonlinear Ultrasonic Scanning To Detect Material Defects,Physical Sciences,NASA Langley Research Center
Variable And Fixed Frequency Pulsed Phase-Locked Loop,Chemical Sciences,NASA Langley Research Center
"Tough, Soluble, Aromatic, Thermoplastic Copolyimides",Chemical Sciences,NASA Langley Research Center
Ultrasonic Periodontal Structures Mapping Device,Physical Sciences,NASA Langley Research Center
Distributed Fiber-optic Strain Sensor,Sensors,NASA Langley Research Center
"Thin Layer Composite Unimorph Ferroelectric Driver And Sensor, THUNDER",Sensors,NASA Langley Research Center
Thin Layer Composite Unimorph Ferroelectric Driver And Sensor,Sensors,NASA Langley Research Center
Catalyst For Formaldehyde Oxidation,Chemical Sciences,NASA Langley Research Center
Quasi Four-Level TM:LuAG Laser (Tm:LuAG Laser),Technology,NASA Langley Research Center
Relative Phase Measurement Instrument For Multiple-Echo Systems,Chemical Sciences,NASA Langley Research Center
Noninvasive Meth/Apparatus For Monitoring Intracranial Pressure & Pressure Vols Index In Humans,Other,NASA Langley Research Center
Imide Oligomers And Co-Oligomers Containing Pendent Phenylethynyl Groups And Polymers Therefrom,Chemical Sciences,NASA Langley Research Center
Imide Oligomers And Co-Oligomers Containing Pendent Phenylethynyl Groups And Polymers Therefrom,Chemical Sciences,NASA Langley Research Center
"A Method To Prepare Processable Polyimides With Reactive Endgroups Using 1,3 Bis (3-Aminophenoxyl) Benzene",Chemical Sciences,NASA Langley Research Center
"Method To Prepare Processable Polyimides With Reactive Endgroups Using 1,3-Bix(3-Aminophenoxyl)Benzene",Chemical Sciences,NASA Langley Research Center
Ultrasonic Technique To Measure Intracranial Pressure,Physical Sciences,NASA Langley Research Center
Distributed Rayleigh Scatter Fiber Optic Strain Sensor,Sensors,NASA Langley Research Center
Method Of Improving A Digital Image,Physical Sciences,NASA Langley Research Center
A Method And Apparatus For The Portable Identification Of Material Thickness Of Layers Using A Scanning Linear Heat Source And Infrared Detectorcramer,Chemical Sciences,NASA Langley Research Center
Solid State Carbon Monoxide Sensor,Sensors,NASA Langley Research Center
Magnetically Suspended Miniature Fluid Pump And Method Of Making Same,Physical Sciences,NASA Langley Research Center
Magnetically Suspended Miniature Fluid Pump And Method Of Designing The Same,Physical Sciences,NASA Langley Research Center
Catalyst For Oxidation Of Hydro-Carbons And Volatile Organic Compounds,Chemical Sciences,NASA Langley Research Center
Catalyst For Carbon Monoxide Oxidation,Chemical Sciences,NASA Langley Research Center
Prepreg And Composites Made From Polyimide  Salt-Like  Solution,Chemical Sciences,NASA Langley Research Center
One-Atmosphere Uniform Glow Discharge Plasma Gas Flow Acceleration,Chemical Sciences,NASA Langley Research Center
Polyimide Foam From Ether-Containing Monomeric Solutions,Chemical Sciences,NASA Langley Research Center
Macro-Fiber Composite Actuator With Interdigitated Electrodes,Mechanics,NASA Langley Research Center
A Method For Fabricating A Piezoelectric Composite Apparatus,Chemical Sciences,NASA Langley Research Center
A Method Of Encouraging Physiological Self-Regulation Through Modulation Of An Operator's Control Input To A Video Game Or Training Simulator,Chemical Sciences,NASA Langley Research Center
Optical Path Switching Based Differential Absorption Radiometry For Substance Detection,Chemical Sciences,NASA Langley Research Center
Hollow Polyimide Microspheres,Chemical Sciences,NASA Langley Research Center
Hollow Polyimide Microspheres,Chemical Sciences,NASA Langley Research Center
Hollow Polyimide Microsphere,Chemical Sciences,NASA Langley Research Center
High Performance / High Temperature Resins For Infusion And Transfer Molding Processes,Chemical Sciences,NASA Langley Research Center
Process For Coating Substrates With Catalyst Materials,Other,NASA Langley Research Center
Technique For Non-Invasive Absolute Measurement Of Intra-Cranial Pressure In Humans,Other,NASA Langley Research Center
Dielectric Electrostatic Ultrasonic Transducer (DEUT),Physical Sciences,NASA Langley Research Center
Edge Triggered Apparatus And Method For Measuring Strain In Bragg Gratings,Other,NASA Langley Research Center
Transducer Assembly To Measure Changes In Circumferential Expansion Of The Human Skull Due To Changes In Intracranial Pressure,Chemical Sciences,NASA Langley Research Center
Single Laser Sweep Full S-Parameter Characterization Of Fiber Bragg Gratings,Chemical Sciences,NASA Langley Research Center
Structural Tailored High Displacement Ferro-Electric Sensors And Actuators,Mechanics,NASA Langley Research Center
Polyimide Foam From Monomeric Solutions,Chemical Sciences,NASA Langley Research Center
Dual Transmission Interface For Passive Fetal Heart Monitoring,Chemical Sciences,NASA Langley Research Center
Catalyst For Treatment And Control Of Post-Combustion Emissions,Chemical Sciences,NASA Langley Research Center
High Precision Solid State Wavelength Monitor,Chemical Sciences,NASA Langley Research Center
Improvement To The Multiscale Retinex With Color Restoration,Chemical Sciences,NASA Langley Research Center
Single Vector Force Balance Calibration System,Chemical Sciences,NASA Langley Research Center
"Liquid Crystalline Thermosets From Oligo-Esters, Ester-Imides And Ester-Amides",Chemical Sciences,NASA Langley Research Center
A Method And System For Multi-Player Game Playing Where Physiological Characteristics Of The Players Modulate Their Relative Advantage Over Opponents Or Competitors,Chemical Sciences,NASA Langley Research Center
Giant Magnetoresistive Based Self-Nulling Probe For Deep Flaw Detection,Chemical Sciences,NASA Langley Research Center
Space Environmentally Durable Polyimides And Copolyimides,Chemical Sciences,NASA Langley Research Center
"Shaping, Tuning, And Positioning Membrane Structures Using Electroactive Polymer Actuators",Mechanics,NASA Langley Research Center
MEMS Based Acoustic Array,Other,NASA Langley Research Center
"Method And System For Training Psychophysiological Skills Conducive To Optimal Performance Through Perturbation Of Training Tasks, Environments And Devices",Chemical Sciences,NASA Langley Research Center
"Method And System For Training Psychophysiological Skills Conducive To Optimal Performance Through Perturbation Of Training Tasks, Environments And Devices",Chemical Sciences,NASA Langley Research Center
Composite Roll Press And Processes,Chemical Sciences,NASA Langley Research Center
Methodology For The Effective Stabilization Of Tin-Oxide-Based Oxidation/Reduction Catalysts,Chemical Sciences,NASA Langley Research Center
Methodology For The Effective Stabilization Of Tin-Oxide-Based Oxidation/Reduction Catalysts,Chemical Sciences,NASA Langley Research Center
Catalyst For Decomposition Of Nitrogen Oxides (Divisional of LAR 16308-1-CU),Chemical Sciences,NASA Langley Research Center
"Heat, Moisture, Chemical Resistant Polyimide Compositions And Methods For Making And Using The Same",Chemical Sciences,NASA Langley Research Center
Method To Linearize Non-Linear Physical Measurements,Chemical Sciences,NASA Langley Research Center
Proximity Sensor,Sensors,NASA Langley Research Center
Self-Activating System And Method For Alerting When An Object Or Person Is Left Unattended,Other,NASA Langley Research Center
Method For Measuring Thickness Of Small Radius Of Curvature Structures Using A Thermal Line Scanner,Mathematics,NASA Langley Research Center
Method Of Improving A Digital Image Having White Zones,Physical Sciences,NASA Langley Research Center
Radial Electric Field Piezo-Diaphragm Fluidic Control Systems,Chemical Sciences,NASA Langley Research Center
"Electrically Conductive, Optically Transparent Polymer/Carbon Nanotube Composites And Process For Preparation Thereof",Chemical Sciences,NASA Langley Research Center
"Electrically Conductive, Optically Transparent Polymer/Carbon Nanotube Composites And Process For Preparation Thereof",Chemical Sciences,NASA Langley Research Center
Ruthenium Stabilization Mechanism For Next Generation Oxidation And Reduction Catalyst Systems,Chemical Sciences,NASA Langley Research Center
Sonic Transducers And Sensors Using Radial Field Diaphragms,Sensors,NASA Langley Research Center
"Ultrasonic Method And Means To Assess Compartment Syndrome (Hyper Pressure States In Arm, Leg Muscle/Tendon Compartments)",Physical Sciences,NASA Langley Research Center
Wet Active Chevron Nozzle For Controllable Jet Noise Reduction,Chemical Sciences,NASA Langley Research Center
Synthesis Of Carbon Nanotubes Using High Average Power Ultrafast Laser Ablation,Chemical Sciences,NASA Langley Research Center
Templated Growth Of Carbon Nanotubes,Chemical Sciences,NASA Langley Research Center
Method Of Determining Intracranial Pressure From Skull Expansion Measurements,Chemical Sciences,NASA Langley Research Center
Carbon Nanotube-Based Structural Health Monitoring Sensor,Sensors,NASA Langley Research Center
Blown Channel-Wing System For Thrust Deflection And Force/Moment Generation,Chemical Sciences,NASA Langley Research Center
Method for the controlled deposition and alignment of single walled carbon nanotubes,Chemical Sciences,NASA Langley Research Center
Non-Invasive Method Of Determining Absolute Intracranial Pressure,Other,NASA Langley Research Center
Autonomous Health Monitoring Architecture Hardware,Other,NASA Langley Research Center
Partial-Span Slotted Wing For Transonic Aircraft,Physical Sciences,NASA Langley Research Center
Low-Noise Fan Exit Guide Vanes,Biological Sciences,NASA Langley Research Center
Micro-LiDAR For In-Flight Flow Velocimetry And Boundary Layer Control,Physical Sciences,NASA Langley Research Center
"Inductor (L)-Capacitor ( C ) (aka, LC) Sensor Circuit For Piezo Material Monitoring",Sensors,NASA Langley Research Center
e-Sensor: Quantitative Imaging of Electric Fields and Electric Potentials,Sensors,NASA Langley Research Center
Method And Apparatus For Loss Of Control Inhibitor Systems,Technology,NASA Langley Research Center
LC Sensing Element For Closed Cavities Having Low Radio Frequency Transmissivity,Biological Sciences,NASA Langley Research Center
Magnetic Field Response Sensor For Conductive Media,Sensors,NASA Langley Research Center
Magnetic Field Response Sensor For Conductive Media,Sensors,NASA Langley Research Center
Carbon Nanotube Based Light Sensor,Sensors,NASA Langley Research Center
Instrumented Crimping Tool For Critical Wiring Applications,Chemical Sciences,NASA Langley Research Center
Energy-extraction-based active noise control system,Chemical Sciences,NASA Langley Research Center
Polyimide Foams,Chemical Sciences,NASA Langley Research Center
Polyimide Foams,Chemical Sciences,NASA Langley Research Center
Laser-Induced Fabrication Of Metallic Interlayers And Patterns In Polyimide Films,Chemical Sciences,NASA Langley Research Center
Programmable Smart Grating Device With Quantum Aperture Array,Physical Sciences,NASA Langley Research Center
Slotted Aircraft Wing (a.k.a. Full Span Slotted Wing),Physical Sciences,NASA Langley Research Center
High Performance High Efficiency Hybrid Actuator Systems (HYBAS),Mechanics,NASA Langley Research Center
"Semi Autonomous Flight System With Avionics Sensor Board, Processing Board, And Flight Control Board",Sensors,NASA Langley Research Center
Advanced Thermo-Electric Materials with Nano-Voids,Other,NASA Langley Research Center
Ultrasonic Method And Means To Assess Compartment Syndrome Part B,Physical Sciences,NASA Langley Research Center
"Thin, High-Contrast Targets for Ultralightweight Structures",Physical Sciences,NASA Langley Research Center
Electroactive polymer-carbon nanotube-ceramic nanocomposites,Chemical Sciences,NASA Langley Research Center
Fail Safe High-Temperature Composite Structure,Chemical Sciences,NASA Langley Research Center
Sensing/Actuating Materials Made From Carbon Nanotube Polymer Composites And Methods For Making Same,Chemical Sciences,NASA Langley Research Center
Lattice Matched SiGe Layer On Single Crystalline Sapphire Substrate,Chemical Sciences,NASA Langley Research Center
Optimization Of Ultrasonic Method For Assessment Of Changes In Intracranial Pressure Through Measurement Of Skull Expansion,Chemical Sciences,NASA Langley Research Center
Graded Indexed SiGe Layers on Lattice Matched SiGe Layers on Sapphire,Chemical Sciences,NASA Langley Research Center
Novel Aromatic/Aliphatic Diamine Derivatives For Advanced Compositions And Polymers,Chemical Sciences,NASA Langley Research Center
Double-Vacuum Bag (DVB) Process For Volatile Management In Resin Matrix Composite Manufacturing,Chemical Sciences,NASA Langley Research Center
Method Of Simulating Flow-Through Area Of A Pressure Regulator,Physical Sciences,NASA Langley Research Center
Dual Sensing Capable Germ Or Toxic Chemical (GTC) Sensor Using Quantum Aperture Array With Surface Plasmon Polariton (SPP),Sensors,NASA Langley Research Center
